OrderID	FarmerID	RetailerID	OrderDate	TotalAmount	Status	PaymentStatus
80	88	62	2024-11-13	1638.26	Shipped	Paid
81	60	164	2024-04-28	1239.52	Shipped	Pending
82	86	3	2024-05-10	1572.05	Shipped	Pending
83	70	41	2024-12-12	659.92	Placed	Pending
84	76	77	2024-06-25	413.61	Delivered	Pending
85	33	117	2024-12-19	1171.35	Shipped	Paid
86	62	28	2024-07-15	1215.72	Placed	Pending
87	46	148	2024-10-19	258.63	Shipped	Pending
88	85	102	2024-01-12	1702.1399999999999	Shipped	Paid
89	88	200	2024-10-16	1561.69	Delivered	Paid
90	96	128	2024-11-06	112.80000000000001	Shipped	Paid
91	46	57	2024-11-06	1749.01	Delivered	Paid
92	33	174	2024-11-13	1102.44	Delivered	Paid
93	13	161	2024-11-17	7.32	Delivered	Paid
94	57	9	2024-06-07	466.32	Delivered	Pending
95	12	76	2024-03-08	1179.6499999999999	Shipped	Pending
96	26	34	2024-03-30	386.7	Delivered	Pending
97	65	70	2024-09-28	399.75	Placed	Pending
98	38	192	2024-09-03	936.19	Shipped	Paid
99	10	37	2024-08-27	1308.79	Placed	Pending
100	47	24	2024-10-12	748.26	Shipped	Paid
101	69	32	2024-05-15	333.16999999999996	Shipped	Pending
102	96	173	2024-12-10	1091.1599999999999	Shipped	Pending
103	48	28	2024-11-22	1150.75	Delivered	Paid
104	4	159	2024-08-29	705.24	Delivered	Pending
105	29	166	2024-11-08	366.93	Placed	Pending
106	39	167	2024-12-24	664.17	Shipped	Paid
107	6	10	2024-03-12	829.99	Shipped	Pending
108	13	61	2024-02-29	260.76	Delivered	Paid
109	59	95	2024-07-17	526.05	Delivered	Pending
110	96	187	2024-10-27	431.87	Placed	Pending
111	13	126	2024-12-01	1480.41	Delivered	Pending
112	5	177	2024-05-23	352.64	Shipped	Paid
113	57	61	2024-08-15	752.05	Shipped	Paid
114	48	140	2024-12-17	870.24	Delivered	Pending
115	51	71	2024-02-01	1815.94	Placed	Paid
116	12	170	2024-08-20	470.01	Placed	Paid
117	43	63	2024-01-26	1212.1100000000001	Placed	Paid
118	98	142	2024-02-05	1495.78	Placed	Paid
119	43	199	2024-04-29	392.13	Placed	Paid
120	19	34	2024-05-21	88.9	Delivered	Pending
121	15	170	2024-03-30	567.6	Placed	Paid
122	46	61	2024-01-08	943.96	Delivered	Pending
123	23	68	2024-01-09	1343.3300000000002	Placed	Paid
124	68	30	2024-08-03	392.99	Delivered	Paid
125	58	200	2024-08-31	1410.58	Shipped	Paid
126	65	57	2024-08-19	779.16	Delivered	Paid
127	67	78	2024-12-03	99.0	Shipped	Paid
128	62	103	2024-02-01	1404.66	Shipped	Paid
129	92	114	2024-09-08	1002.02	Placed	Paid
130	78	38	2024-06-13	1072.03	Placed	Paid
131	80	163	2024-05-20	2068.94	Delivered	Pending
132	77	136	2024-07-14	1156.36	Shipped	Pending
133	78	111	2024-09-15	1379.96	Placed	Paid
134	84	197	2024-12-01	440.39	Delivered	Paid
135	58	59	2024-08-08	420.7	Shipped	Pending
136	52	107	2024-08-20	590.3199999999999	Delivered	Paid
137	55	81	2024-06-09	1482.3899999999999	Delivered	Pending
138	20	176	2024-07-10	634.59	Shipped	Paid
139	11	24	2024-02-16	1076.1299999999999	Shipped	Paid
140	17	143	2024-07-09	299.65	Placed	Pending
141	16	106	2024-12-09	813.54	Shipped	Pending
142	37	154	2024-01-27	1603.6100000000001	Shipped	Pending
143	74	130	2024-02-23	859.79	Placed	Paid
144	62	58	2024-12-02	635.78	Placed	Pending
145	48	30	2024-10-11	2302.41	Shipped	Paid
146	72	197	2024-08-07	936.6	Delivered	Paid
147	85	178	2024-11-07	23.46	Shipped	Paid
148	35	180	2024-04-02	211.4	Shipped	Pending
149	1	47	2024-06-28	676.5699999999999	Placed	Pending
150	19	190	2024-02-05	452.32	Delivered	Paid
151	96	136	2024-02-16	578.76	Placed	Pending
152	59	88	2024-08-02	1296.13	Placed	Pending
153	93	84	2024-06-08	971.61	Delivered	Paid
154	20	41	2024-01-27	1597.7	Delivered	Paid
155	11	70	2024-12-11	1386.08	Shipped	Pending
156	78	114	2024-09-05	550.46	Shipped	Pending
157	97	132	2024-04-20	312.86	Placed	Pending
158	15	73	2024-08-08	1033.77	Delivered	Pending
159	86	79	2024-09-26	259.15	Placed	Paid
160	77	15	2024-07-21	227.45999999999998	Placed	Paid
161	28	197	2024-06-03	938.21	Placed	Pending
162	42	31	2024-05-28	994.67	Placed	Pending
163	23	34	2024-08-08	1610.94	Shipped	Paid
164	72	172	2024-09-13	1389.3	Shipped	Paid
165	95	11	2024-07-22	747.0	Shipped	Paid
166	10	81	2024-08-23	1039.26	Delivered	Pending
167	52	182	2024-10-20	562.55	Delivered	Pending
168	15	104	2024-05-28	363.28	Placed	Pending
169	80	118	2024-03-28	461.51	Delivered	Pending
170	56	28	2024-02-15	1517.72	Placed	Pending
171	52	135	2024-10-28	904.37	Placed	Pending
172	96	87	2024-06-07	1001.85	Placed	Pending
173	10	131	2024-03-27	648.8	Delivered	Paid
174	66	50	2024-09-28	955.36	Shipped	Pending
175	19	61	2024-11-26	1717.73	Placed	Paid
176	26	45	2024-05-11	21.6	Delivered	Paid
177	10	46	2024-12-01	369.28	Delivered	Pending
178	97	145	2024-08-25	1683.02	Delivered	Pending
179	73	165	2024-12-14	686.26	Delivered	Pending
180	41	39	2024-11-17	1864.19	Shipped	Paid
181	57	162	2024-08-28	602.27	Shipped	Pending
182	8	91	2024-10-29	1833.97	Delivered	Paid
183	60	116	2024-06-07	1608.42	Placed	Paid
184	37	20	2024-07-07	396.09	Delivered	Paid
185	77	130	2024-11-10	1214.25	Shipped	Pending
186	71	190	2024-10-24	596.87	Placed	Pending
187	84	49	2024-10-19	1170.27	Shipped	Pending
188	20	16	2024-09-13	210.64	Shipped	Paid
189	92	22	2024-06-24	681.35	Delivered	Paid
190	32	182	2024-01-21	746.31	Shipped	Pending
191	67	157	2024-09-25	298.32	Placed	Pending
192	37	100	2024-07-09	1578.9299999999998	Shipped	Pending
193	77	14	2024-12-13	387.92	Delivered	Pending
194	43	25	2024-02-03	10.53	Delivered	Pending
195	33	186	2024-05-25	313.29	Delivered	Paid
196	11	150	2024-06-19	450.12	Delivered	Paid
197	40	168	2024-06-28	730.87	Delivered	Pending
198	77	182	2024-03-07	248.3	Placed	Pending
199	49	165	2024-10-13	975.36	Shipped	Paid
200	90	190	2024-12-09	20.53	Delivered	Paid
201	86	109	2024-11-26	2210.46	Delivered	Pending
202	47	80	2024-01-10	270.86	Placed	Paid
203	99	125	2024-06-23	999.23	Placed	Paid
204	20	20	2024-03-11	1450.45	Shipped	Paid
205	99	139	2024-09-16	1602.3200000000002	Delivered	Paid
206	44	197	2024-12-04	1339.72	Delivered	Paid
207	49	40	2024-11-01	355.75	Placed	Paid
208	99	160	2024-12-20	1208.98	Placed	Pending
209	53	94	2024-01-23	1644.3200000000002	Delivered	Paid
210	79	73	2024-08-15	1473.96	Delivered	Pending
211	69	62	2024-04-29	894.77	Shipped	Pending
212	48	174	2024-04-09	78.26	Delivered	Pending
213	99	73	2024-08-24	843.9000000000001	Shipped	Pending
214	26	155	2024-03-23	787.71	Placed	Pending
215	83	124	2024-01-27	627.69	Shipped	Paid
216	67	32	2024-12-30	981.8800000000001	Shipped	Paid
217	35	116	2024-03-23	953.8399999999999	Delivered	Paid
218	12	57	2024-08-11	536.88	Shipped	Pending
219	54	14	2024-01-14	635.0	Shipped	Pending
220	50	21	2024-04-30	227.91	Shipped	Paid
221	41	26	2024-01-15	1730.23	Delivered	Pending
222	18	10	2024-03-15	1337.8	Shipped	Pending
223	18	195	2024-12-22	1476.59	Delivered	Pending
224	79	2	2024-08-17	479.92	Placed	Paid
225	28	39	2024-05-11	423.88	Delivered	Pending
226	100	74	2024-02-26	930.7	Placed	Pending
227	7	62	2024-03-03	513.3	Shipped	Pending
228	15	128	2024-02-02	2018.54	Delivered	Paid
229	66	148	2024-11-19	1821.3	Placed	Paid
230	55	1	2024-05-29	111.54	Delivered	Pending
231	74	107	2024-05-03	971.42	Placed	Paid
232	47	18	2024-09-25	383.24	Delivered	Paid
233	61	12	2024-07-18	984.9	Delivered	Pending
234	33	192	2024-07-10	254.22000000000003	Placed	Pending
235	45	62	2024-02-04	563.35	Delivered	Paid
236	95	194	2024-10-24	1024.8899999999999	Shipped	Paid
237	46	140	2024-01-23	819.98	Shipped	Paid
238	60	179	2024-12-16	352.74	Shipped	Paid
239	9	184	2024-03-10	479.69	Shipped	Paid
240	26	12	2024-05-30	613.21	Placed	Paid
241	40	132	2024-06-10	1933.2199999999998	Shipped	Pending
242	5	193	2024-05-09	1148.86	Delivered	Paid
243	46	200	2024-05-26	793.46	Placed	Pending
244	16	95	2024-05-19	594.26	Shipped	Pending
245	50	87	2024-08-13	316.3	Placed	Pending
246	64	95	2024-12-20	265.96	Delivered	Pending
247	94	109	2024-02-12	773.5	Placed	Pending
248	24	140	2024-11-04	1393.8	Shipped	Pending
249	11	84	2024-02-22	1985.87	Delivered	Pending
250	58	155	2024-06-05	738.97	Delivered	Pending
251	89	114	2024-03-26	1510.3600000000001	Shipped	Pending
252	94	91	2024-01-22	310.37	Delivered	Pending
253	82	15	2024-05-20	232.31	Placed	Pending
254	66	192	2024-07-05	808.11	Delivered	Paid
255	19	156	2024-01-16	469.75	Delivered	Pending
256	17	18	2024-01-18	540.89	Placed	Pending
257	50	146	2024-07-04	2268.08	Placed	Paid
258	58	95	2024-12-13	395.03999999999996	Shipped	Pending
259	74	36	2024-02-09	1193.81	Delivered	Pending
260	41	167	2024-07-22	329.82	Shipped	Paid
261	4	189	2024-02-28	114.64	Placed	Pending
262	50	144	2024-09-22	538.63	Placed	Pending
263	91	115	2024-05-13	820.7	Placed	Pending
264	63	52	2024-12-21	108.66000000000001	Placed	Paid
265	58	45	2024-02-07	497.36	Delivered	Pending
266	88	82	2024-02-14	1246.91	Delivered	Pending
267	9	141	2024-12-29	542.88	Delivered	Pending
268	21	183	2024-06-02	556.45	Delivered	Paid
269	66	58	2024-07-04	1301.09	Placed	Paid
270	31	127	2024-03-12	121.94	Placed	Pending
271	74	95	2024-10-10	106.26	Shipped	Paid
272	12	17	2024-11-09	1071.87	Shipped	Pending
273	68	106	2024-09-02	729.8	Shipped	Paid
274	41	165	2024-03-05	30.4	Placed	Pending
275	88	133	2024-08-26	1009.42	Shipped	Paid
276	82	151	2024-10-09	282.26	Placed	Paid
277	65	15	2024-08-09	1058.35	Placed	Paid
278	22	42	2024-06-04	2474.18	Shipped	Paid
279	67	73	2024-06-26	1422.9	Placed	Pending
280	82	142	2024-04-10	338.71000000000004	Shipped	Paid
281	39	158	2024-11-16	1306.6599999999999	Delivered	Paid
282	83	44	2024-09-14	868.54	Delivered	Paid
283	85	160	2024-03-28	474.18	Delivered	Pending
284	6	8	2024-10-15	1181.26	Placed	Paid
285	99	148	2024-11-24	105.43	Shipped	Paid
286	54	159	2024-10-19	228.8	Delivered	Paid
287	81	140	2024-09-11	1476.27	Shipped	Pending
288	32	176	2024-09-04	1474.97	Shipped	Pending
289	10	177	2024-08-20	1195.38	Placed	Paid
290	54	124	2024-08-13	1539.02	Shipped	Paid
291	78	37	2024-06-23	244.53	Shipped	Pending
292	52	34	2024-06-25	1155.8	Shipped	Paid
293	31	120	2024-06-12	284.99	Placed	Pending
294	32	37	2024-08-18	67.98	Placed	Paid
295	50	158	2024-05-28	385.32	Shipped	Paid
296	42	148	2024-03-22	55.12	Delivered	Pending
297	98	41	2024-04-07	380.01	Shipped	Pending
298	40	128	2024-09-12	276.12	Placed	Paid
299	65	118	2024-07-20	1430.8899999999999	Placed	Paid
300	46	13	2024-10-25	1435.92	Placed	Pending
301	77	168	2024-09-10	789.33	Delivered	Pending
302	69	3	2024-05-26	414.0	Placed	Pending
303	34	187	2024-03-09	684.0	Shipped	Pending
304	6	103	2024-07-06	87.21000000000001	Placed	Paid
305	71	74	2024-07-04	1399.52	Placed	Pending
306	58	196	2024-09-15	229.19	Delivered	Pending
307	88	157	2024-11-15	1231.67	Placed	Paid
308	51	96	2024-02-19	311.88	Shipped	Pending
309	26	155	2024-03-14	568.2	Delivered	Pending
310	6	12	2024-09-13	1035.67	Placed	Paid
311	61	133	2024-06-19	830.0	Shipped	Paid
312	66	36	2024-11-06	1511.58	Shipped	Pending
313	51	158	2024-03-24	342.9	Delivered	Pending
314	44	130	2024-10-30	2015.9	Delivered	Pending
315	73	77	2024-12-28	1080.21	Shipped	Paid
316	43	173	2024-07-07	649.5600000000001	Placed	Pending
317	40	186	2024-10-25	1030.48	Delivered	Paid
318	61	68	2024-11-01	182.16	Delivered	Paid
319	75	123	2024-01-27	456.12	Placed	Pending
320	88	63	2024-03-16	208.78	Placed	Paid
321	3	113	2024-04-07	1347.3600000000001	Shipped	Pending
322	53	177	2024-03-18	745.35	Placed	Pending
323	100	157	2024-09-13	274.4	Shipped	Paid
324	18	133	2024-12-27	248.46	Placed	Pending
325	62	135	2024-12-05	987.4200000000001	Shipped	Pending
326	59	137	2024-03-29	869.96	Shipped	Pending
327	99	185	2024-12-12	1757.73	Delivered	Pending
328	62	50	2024-11-08	433.13	Placed	Pending
329	39	58	2024-10-12	158.85	Shipped	Pending
330	27	177	2024-12-26	1069.56	Delivered	Pending
331	62	90	2024-06-11	1070.12	Delivered	Pending
332	16	147	2024-05-27	1772.98	Delivered	Pending
333	45	198	2024-07-21	439.78	Placed	Pending
334	37	183	2024-01-22	273.18	Placed	Pending
335	84	66	2024-08-14	535.77	Delivered	Pending
336	26	138	2024-04-19	389.5	Shipped	Pending
337	14	158	2024-03-11	325.15	Delivered	Paid
338	7	172	2024-05-04	681.0	Delivered	Paid
339	30	14	2024-11-22	878.78	Placed	Pending
340	92	121	2024-06-18	778.3599999999999	Placed	Paid
341	71	41	2024-01-03	489.72	Shipped	Pending
342	84	52	2024-09-01	1553.5700000000002	Shipped	Pending
343	83	16	2024-05-26	1922.77	Placed	Paid
344	95	186	2024-09-30	499.51	Placed	Paid
345	23	10	2024-08-01	1250.8	Shipped	Pending
346	96	75	2024-04-05	434.7	Placed	Paid
347	73	155	2024-06-01	827.48	Placed	Pending
348	59	165	2024-05-25	448.25	Delivered	Pending
349	65	120	2024-03-09	152.4	Shipped	Paid
350	43	42	2024-02-27	536.88	Delivered	Pending
351	33	184	2024-11-27	653.11	Placed	Paid
352	38	146	2024-06-21	358.05	Delivered	Paid
353	79	164	2024-03-30	530.25	Shipped	Pending
354	42	23	2024-09-20	863.5	Shipped	Paid
355	18	123	2024-04-04	781.9	Shipped	Paid
356	34	99	2024-01-04	277.84000000000003	Placed	Pending
357	43	78	2024-05-16	564.16	Delivered	Paid
358	84	93	2024-05-13	916.9	Delivered	Paid
359	86	31	2024-02-01	148.23999999999998	Shipped	Pending
360	52	176	2024-03-22	1504.14	Delivered	Pending
361	16	164	2024-12-19	654.84	Shipped	Pending
362	29	57	2024-11-10	757.8000000000001	Placed	Pending
363	59	192	2024-03-19	1965.63	Delivered	Pending
364	90	141	2024-07-31	460.58000000000004	Shipped	Paid
365	88	194	2024-05-06	80.04	Delivered	Paid
366	58	136	2024-09-26	1024.31	Delivered	Pending
367	73	29	2024-02-09	1230.3	Placed	Paid
368	69	39	2024-10-20	1060.34	Placed	Pending
369	57	30	2024-09-23	626.75	Delivered	Paid
370	63	24	2024-10-25	580.52	Delivered	Pending
371	59	34	2024-01-29	1828.44	Delivered	Pending
372	73	15	2024-08-21	1366.87	Delivered	Pending
373	40	186	2024-12-10	623.16	Placed	Pending
374	1	191	2024-05-10	788.8	Placed	Paid
375	55	89	2024-01-24	320.17	Delivered	Paid
376	8	18	2024-10-04	1072.52	Shipped	Paid
377	53	47	2024-05-26	1018.62	Placed	Pending
378	49	115	2024-07-10	421.8	Shipped	Pending
379	88	170	2024-02-11	526.55	Delivered	Paid
380	45	31	2024-11-30	984.0600000000001	Placed	Pending
381	17	187	2024-09-27	1900.53	Placed	Paid
382	39	119	2024-01-12	384.29	Delivered	Pending
383	49	59	2024-09-29	2178.97	Placed	Pending
384	20	71	2024-06-26	705.02	Placed	Paid
385	85	108	2024-01-17	513.06	Delivered	Paid
386	27	18	2024-05-03	536.64	Placed	Paid
387	77	173	2024-08-16	2217.7599999999998	Delivered	Paid
388	95	12	2024-05-05	1256.16	Shipped	Pending
389	70	56	2024-04-29	316.09000000000003	Placed	Paid
390	38	60	2024-09-14	1028.67	Delivered	Pending
391	77	198	2024-10-22	299.51	Delivered	Pending
392	39	37	2024-05-01	669.96	Delivered	Paid
393	39	71	2024-07-30	729.0600000000001	Placed	Paid
394	87	110	2024-11-16	441.21	Delivered	Pending
395	45	165	2024-01-25	1252.02	Delivered	Pending
396	41	179	2024-09-25	1747.36	Shipped	Pending
397	39	97	2024-03-17	605.06	Placed	Pending
398	29	77	2024-05-03	1850.71	Delivered	Paid
399	8	144	2024-08-25	698.1600000000001	Shipped	Pending
400	68	35	2024-10-12	249.48	Shipped	Paid
401	27	85	2024-05-10	596.5	Delivered	Paid
402	48	24	2024-08-18	926.83	Delivered	Paid
403	35	97	2024-01-27	397.03999999999996	Delivered	Paid
404	25	195	2024-02-07	438.2	Delivered	Paid
405	27	86	2024-09-02	866.0799999999999	Shipped	Paid
406	25	190	2024-04-18	66.99	Placed	Pending
407	90	155	2024-05-04	158.4	Delivered	Paid
408	31	142	2024-07-22	339.57	Shipped	Pending
409	60	137	2024-07-13	684.8	Delivered	Pending
410	34	93	2024-06-06	1464.29	Delivered	Pending
411	13	185	2024-08-26	458.38	Shipped	Pending
412	48	81	2024-04-14	694.2	Shipped	Paid
413	29	190	2024-10-15	1457.54	Placed	Paid
414	71	150	2024-05-13	2022.8	Delivered	Pending
415	20	51	2024-05-31	616.15	Shipped	Paid
416	73	63	2024-07-13	394.98	Shipped	Pending
417	98	126	2024-05-11	446.26	Delivered	Pending
418	22	188	2024-08-23	636.72	Shipped	Paid
419	93	140	2024-03-12	574.15	Shipped	Paid
420	83	16	2024-10-04	1149.17	Delivered	Paid
421	86	13	2024-02-08	168.84	Placed	Pending
422	81	60	2024-03-11	1291.27	Placed	Paid
423	28	130	2024-01-05	1067.87	Shipped	Pending
424	80	164	2024-01-31	584.64	Delivered	Pending
425	63	5	2024-12-03	409.88	Placed	Pending
426	3	136	2024-01-07	850.23	Delivered	Pending
427	37	5	2024-10-01	770.0	Delivered	Pending
428	14	25	2024-04-01	802.19	Delivered	Paid
429	25	159	2024-05-03	120.27	Delivered	Pending
430	35	102	2024-06-30	770.88	Placed	Pending
431	59	145	2024-07-26	2131.3	Placed	Paid
432	88	21	2024-06-02	26.66	Delivered	Paid
433	52	98	2024-02-17	723.4399999999999	Shipped	Pending
434	82	3	2024-01-29	62.4	Delivered	Paid
435	64	112	2024-02-12	1554.8	Delivered	Pending
436	13	136	2024-10-16	731.6500000000001	Placed	Paid
437	89	146	2024-04-18	508.12	Shipped	Pending
438	10	176	2024-01-24	726.96	Shipped	Paid
439	41	5	2024-04-01	1044.84	Placed	Paid
440	51	20	2024-12-30	348.71999999999997	Shipped	Paid
441	31	146	2024-10-15	844.5	Shipped	Pending
442	97	190	2024-07-15	1382.74	Placed	Paid
443	96	89	2024-09-13	1349.49	Placed	Paid
444	30	20	2024-08-11	1838.78	Shipped	Pending
445	4	163	2024-06-16	1126.07	Shipped	Pending
446	30	92	2024-09-08	1247.22	Delivered	Pending
447	24	175	2024-08-09	1786.1	Delivered	Pending
448	99	159	2024-02-13	4.29	Shipped	Paid
449	11	69	2024-02-07	824.36	Placed	Pending
450	82	40	2024-12-30	1457.78	Delivered	Pending
451	47	28	2024-06-11	339.52000000000004	Placed	Paid
452	57	93	2024-06-06	708.6800000000001	Shipped	Paid
453	12	48	2024-03-08	742.14	Shipped	Pending
454	72	132	2024-10-12	1966.69	Shipped	Paid
455	12	91	2024-01-14	673.36	Delivered	Paid
456	77	84	2024-11-01	799.37	Shipped	Paid
457	53	100	2024-05-29	896.04	Placed	Paid
458	67	44	2024-10-19	1781.5	Delivered	Pending
459	18	69	2024-03-27	968.46	Shipped	Pending
460	19	17	2024-09-09	286.23	Placed	Pending
461	54	77	2024-05-21	587.0400000000001	Shipped	Paid
462	33	64	2024-07-03	1662.9099999999999	Delivered	Pending
463	79	51	2024-10-31	838.4	Shipped	Paid
464	39	2	2024-03-10	535.03	Shipped	Pending
465	49	85	2024-11-13	244.18	Shipped	Pending
466	84	153	2024-08-08	1401.9899999999998	Placed	Pending
467	78	178	2024-06-13	576.95	Placed	Pending
468	23	102	2024-06-09	75.6	Shipped	Pending
469	82	126	2024-12-21	688.23	Delivered	Paid
470	49	72	2024-06-15	1730.38	Shipped	Pending
471	73	52	2024-02-28	1123.56	Delivered	Paid
472	99	141	2024-12-15	2539.21	Placed	Pending
473	27	113	2024-12-28	1316.94	Shipped	Paid
474	87	128	2024-07-28	271.26	Placed	Pending
475	33	169	2024-05-03	703.67	Placed	Pending
476	10	115	2024-07-12	910.15	Delivered	Pending
477	52	137	2024-10-25	1221.53	Delivered	Pending
478	5	93	2024-10-05	208.78	Delivered	Paid
479	99	64	2024-02-25	189.42	Delivered	Pending
480	83	157	2024-03-26	884.61	Placed	Pending
481	56	28	2024-06-18	417.21000000000004	Placed	Paid
482	29	131	2024-05-12	70.57000000000001	Delivered	Paid
483	48	101	2024-08-16	1581.1200000000001	Shipped	Paid
484	4	124	2024-06-25	561.51	Placed	Pending
485	11	30	2024-07-31	253.68	Delivered	Paid
486	40	88	2024-06-27	783.78	Shipped	Paid
487	62	90	2024-09-23	1898.47	Shipped	Paid
488	93	179	2024-08-12	940.6899999999999	Shipped	Pending
489	39	12	2024-02-04	236.0	Delivered	Paid
490	44	166	2024-01-12	686.23	Placed	Paid
491	67	45	2024-05-04	176.25	Delivered	Paid
492	72	110	2024-06-18	38.28	Shipped	Paid
493	81	48	2024-07-26	178.84	Placed	Pending
494	4	189	2024-07-21	20.7	Delivered	Paid
495	76	110	2024-08-18	1521.66	Shipped	Paid
496	28	53	2024-12-26	1446.3999999999999	Shipped	Paid
497	14	138	2024-10-22	74.8	Placed	Pending
498	26	118	2024-06-15	847.81	Placed	Pending
499	63	136	2024-12-09	564.0600000000001	Delivered	Pending
500	50	157	2024-11-01	241.54	Shipped	Paid
501	46	118	2024-06-27	955.6700000000001	Delivered	Paid
502	91	77	2024-12-10	570.48	Delivered	Paid
503	18	81	2024-12-10	825.37	Placed	Paid
504	15	47	2024-06-05	768.04	Shipped	Paid
505	50	108	2024-09-18	589.66	Delivered	Paid
506	50	109	2024-10-21	598.64	Placed	Pending
507	69	178	2024-11-21	1108.73	Delivered	Paid
508	22	126	2024-10-11	794.52	Shipped	Paid
509	41	116	2024-04-05	725.18	Delivered	Paid
510	2	125	2024-07-02	865.9499999999999	Placed	Paid
511	72	130	2024-07-15	851.77	Delivered	Pending
512	88	126	2024-07-28	702.54	Shipped	Pending
513	22	22	2024-09-07	896.99	Delivered	Paid
514	38	9	2024-04-22	629.74	Shipped	Paid
515	37	44	2024-10-02	991.15	Shipped	Pending
516	66	29	2024-10-08	299.28	Delivered	Paid
517	100	140	2024-05-17	443.25	Shipped	Paid
518	70	56	2024-08-13	103.14	Shipped	Paid
519	97	64	2024-11-30	1432.3500000000001	Shipped	Paid
520	34	90	2024-08-18	770.1800000000001	Placed	Pending
521	100	61	2024-03-01	809.19	Placed	Pending
522	79	162	2024-12-29	82.05	Shipped	Paid
523	18	53	2024-11-11	879.24	Placed	Paid
