PaymentID,OrderID,PaymentDate,Amount,PaymentMethod,PaymentStatus
60,60,2024-09-19,759.26,Bank Transfer,Pending
61,61,2024-10-30,421.3,Bank Transfer,Paid
62,62,2024-08-19,1125.44,Bank Transfer,Pending
63,63,2024-10-10,789.21,Bank Transfer,Pending
64,64,2024-06-15,487.66,Credit,Pending
65,65,2024-05-01,787.1500000000001,Bank Transfer,Pending
66,66,2024-09-01,31.57,Credit,Paid
67,67,2024-09-11,433.65,Bank Transfer,Pending
68,68,2024-02-22,1137.15,Cash,Pending
69,69,2024-01-09,1307.67,Credit,Paid
70,70,2024-02-10,2066.43,Credit,Pending
71,71,2024-11-30,1239.44,Credit,Pending
72,72,2024-06-13,783.8499999999999,Bank Transfer,Paid
73,73,2024-11-14,1249.6599999999999,Cash,Pending
74,74,2024-04-27,304.92,Credit,Paid
75,75,2024-11-21,1548.34,Bank Transfer,Paid
76,76,2024-12-22,635.14,Bank Transfer,Pending
77,77,2024-01-31,99.99,Credit,Pending
78,78,2024-03-18,1450.7,Cash,Paid
79,79,2024-03-30,1089.76,Cash,Pending
80,80,2024-11-15,1638.26,Bank Transfer,Paid
81,81,2024-04-30,1239.52,Cash,Pending
82,82,2024-05-11,1572.05,Credit,Pending
83,83,2024-12-12,659.92,Credit,Pending
84,84,2024-06-28,413.61,Cash,Pending
85,85,2024-12-19,1171.35,Bank Transfer,Paid
86,86,2024-07-17,1215.72,Bank Transfer,Pending
87,87,2024-10-19,258.63,Bank Transfer,Pending
88,88,2024-01-14,1702.1399999999999,Bank Transfer,Paid
89,89,2024-10-17,1561.69,Cash,Paid
90,90,2024-11-08,112.80000000000001,Cash,Paid
91,91,2024-11-06,1749.01,Cash,Paid
92,92,2024-11-15,1102.44,Bank Transfer,Paid
93,93,2024-11-19,7.32,Bank Transfer,Paid
94,94,2024-06-09,466.32,Bank Transfer,Pending
95,95,2024-03-11,1179.6499999999999,Cash,Pending
96,96,2024-03-31,386.7,Credit,Pending
97,97,2024-10-01,399.75,Cash,Pending
98,98,2024-09-05,936.19,Cash,Paid
99,99,2024-08-27,1308.79,Cash,Pending
100,100,2024-10-15,748.26,Cash,Paid
101,101,2024-05-18,333.16999999999996,Credit,Pending
102,102,2024-12-13,1091.1599999999999,Cash,Pending
103,103,2024-11-25,1150.75,Bank Transfer,Paid
104,104,2024-08-31,705.24,Credit,Pending
105,105,2024-11-10,366.93,Cash,Pending
106,106,2024-12-27,664.17,Cash,Paid
107,107,2024-03-13,829.99,Bank Transfer,Pending
108,108,2024-03-01,260.76,Credit,Paid
109,109,2024-07-17,526.05,Credit,Pending
110,110,2024-10-27,431.87,Bank Transfer,Pending
111,111,2024-12-01,1480.41,Credit,Pending
112,112,2024-05-25,352.64,Credit,Paid
113,113,2024-08-17,752.05,Bank Transfer,Paid
114,114,2024-12-19,870.24,Bank Transfer,Pending
115,115,2024-02-01,1815.94,Cash,Paid
116,116,2024-08-21,470.01,Credit,Paid
117,117,2024-01-29,1212.1100000000001,Cash,Paid
118,118,2024-02-08,1495.78,Cash,Paid
119,119,2024-04-30,392.13,Cash,Paid
120,120,2024-05-22,88.9,Bank Transfer,Pending
121,121,2024-03-31,567.6,Credit,Paid
122,122,2024-01-09,943.96,Bank Transfer,Pending
123,123,2024-01-09,1343.3300000000002,Credit,Paid
124,124,2024-08-05,392.99,Cash,Paid
125,125,2024-09-03,1410.58,Cash,Paid
126,126,2024-08-20,779.16,Credit,Paid
127,127,2024-12-05,99.0,Credit,Paid
128,128,2024-02-03,1404.66,Cash,Paid
129,129,2024-09-09,1002.02,Bank Transfer,Paid
130,130,2024-06-15,1072.03,Cash,Paid
131,131,2024-05-22,2068.94,Bank Transfer,Pending
132,132,2024-07-16,1156.36,Cash,Pending
133,133,2024-09-18,1379.96,Cash,Paid
134,134,2024-12-04,440.39,Bank Transfer,Paid
135,135,2024-08-08,420.7,Bank Transfer,Pending
136,136,2024-08-21,590.3199999999999,Bank Transfer,Paid
137,137,2024-06-12,1482.3899999999999,Cash,Pending
138,138,2024-07-12,634.59,Bank Transfer,Paid
139,139,2024-02-16,1076.1299999999999,Credit,Paid
140,140,2024-07-11,299.65,Bank Transfer,Pending
141,141,2024-12-12,813.54,Bank Transfer,Pending
142,142,2024-01-28,1603.6100000000001,Cash,Pending
143,143,2024-02-24,859.79,Bank Transfer,Paid
144,144,2024-12-04,635.78,Cash,Pending
145,145,2024-10-11,2302.41,Bank Transfer,Paid
146,146,2024-08-07,936.6,Bank Transfer,Paid
147,147,2024-11-10,23.46,Bank Transfer,Paid
148,148,2024-04-03,211.4,Credit,Pending
149,149,2024-07-01,676.5699999999999,Credit,Pending
150,150,2024-02-06,452.32,Credit,Paid
151,151,2024-02-17,578.76,Cash,Pending
152,152,2024-08-04,1296.13,Bank Transfer,Pending
153,153,2024-06-08,971.61,Credit,Paid
154,154,2024-01-28,1597.7,Cash,Paid
155,155,2024-12-14,1386.08,Credit,Pending
156,156,2024-09-05,550.46,Bank Transfer,Pending
157,157,2024-04-23,312.86,Bank Transfer,Pending
158,158,2024-08-08,1033.77,Cash,Pending
159,159,2024-09-26,259.15,Credit,Paid
160,160,2024-07-22,227.45999999999998,Bank Transfer,Paid
161,161,2024-06-05,938.21,Bank Transfer,Pending
162,162,2024-05-31,994.67,Cash,Pending
163,163,2024-08-09,1610.94,Cash,Paid
164,164,2024-09-14,1389.3,Credit,Paid
165,165,2024-07-22,747.0,Cash,Paid
166,166,2024-08-25,1039.26,Bank Transfer,Pending
167,167,2024-10-23,562.55,Credit,Pending
168,168,2024-05-31,363.28,Credit,Pending
169,169,2024-03-28,461.51,Bank Transfer,Pending
170,170,2024-02-18,1517.72,Credit,Pending
171,171,2024-10-31,904.37,Cash,Pending
172,172,2024-06-10,1001.85,Cash,Pending
173,173,2024-03-28,648.8,Credit,Paid
174,174,2024-09-30,955.36,Bank Transfer,Pending
175,175,2024-11-29,1717.73,Cash,Paid
176,176,2024-05-14,21.6,Cash,Paid
177,177,2024-12-03,369.28,Bank Transfer,Pending
178,178,2024-08-26,1683.02,Cash,Pending
179,179,2024-12-15,686.26,Credit,Pending
180,180,2024-11-19,1864.19,Cash,Paid
181,181,2024-08-31,602.27,Cash,Pending
182,182,2024-10-31,1833.97,Bank Transfer,Paid
183,183,2024-06-08,1608.42,Cash,Paid
184,184,2024-07-07,396.09,Bank Transfer,Paid
185,185,2024-11-13,1214.25,Bank Transfer,Pending
186,186,2024-10-27,596.87,Bank Transfer,Pending
187,187,2024-10-19,1170.27,Cash,Pending
188,188,2024-09-15,210.64,Bank Transfer,Paid
189,189,2024-06-27,681.35,Credit,Paid
190,190,2024-01-22,746.31,Credit,Pending
191,191,2024-09-28,298.32,Bank Transfer,Pending
192,192,2024-07-11,1578.9299999999998,Cash,Pending
193,193,2024-12-13,387.92,Cash,Pending
194,194,2024-02-04,10.53,Cash,Pending
195,195,2024-05-26,313.29,Bank Transfer,Paid
196,196,2024-06-21,450.12,Credit,Paid
197,197,2024-06-29,730.87,Bank Transfer,Pending
198,198,2024-03-08,248.3,Bank Transfer,Pending
199,199,2024-10-16,975.36,Credit,Paid
200,200,2024-12-10,20.53,Cash,Paid
201,201,2024-11-26,2210.46,Cash,Pending
202,202,2024-01-11,270.86,Cash,Paid
203,203,2024-06-24,999.23,Cash,Paid
204,204,2024-03-13,1450.45,Cash,Paid
205,205,2024-09-16,1602.3200000000002,Bank Transfer,Paid
206,206,2024-12-06,1339.72,Bank Transfer,Paid
207,207,2024-11-01,355.75,Cash,Paid
208,208,2024-12-22,1208.98,Credit,Pending
209,209,2024-01-25,1644.3200000000002,Credit,Paid
210,210,2024-08-17,1473.96,Credit,Pending
211,211,2024-05-01,894.77,Cash,Pending
212,212,2024-04-09,78.26,Bank Transfer,Pending
213,213,2024-08-25,843.9000000000001,Credit,Pending
214,214,2024-03-23,787.71,Cash,Pending
215,215,2024-01-30,627.69,Credit,Paid
216,216,2024-12-30,981.8800000000001,Credit,Paid
217,217,2024-03-23,953.8399999999999,Cash,Paid
218,218,2024-08-14,536.88,Credit,Pending
219,219,2024-01-16,635.0,Bank Transfer,Pending
220,220,2024-05-02,227.91,Bank Transfer,Paid
221,221,2024-01-18,1730.23,Credit,Pending
222,222,2024-03-17,1337.8,Bank Transfer,Pending
223,223,2024-12-23,1476.59,Credit,Pending
224,224,2024-08-17,479.92,Bank Transfer,Paid
225,225,2024-05-12,423.88,Bank Transfer,Pending
226,226,2024-02-28,930.7,Cash,Pending
227,227,2024-03-05,513.3,Bank Transfer,Pending
228,228,2024-02-03,2018.54,Bank Transfer,Paid
229,229,2024-11-19,1821.3,Credit,Paid
230,230,2024-06-01,111.54,Cash,Pending
231,231,2024-05-03,971.42,Cash,Paid
232,232,2024-09-25,383.24,Cash,Paid
233,233,2024-07-19,984.9,Credit,Pending
234,234,2024-07-12,254.22000000000003,Credit,Pending
235,235,2024-02-04,563.35,Credit,Paid
236,236,2024-10-27,1024.8899999999999,Cash,Paid
237,237,2024-01-24,819.98,Cash,Paid
238,238,2024-12-17,352.74,Credit,Paid
239,239,2024-03-11,479.69,Bank Transfer,Paid
240,240,2024-06-01,613.21,Bank Transfer,Paid
241,241,2024-06-13,1933.2199999999998,Credit,Pending
242,242,2024-05-12,1148.86,Credit,Paid
243,243,2024-05-26,793.46,Cash,Pending
244,244,2024-05-21,594.26,Cash,Pending
245,245,2024-08-15,316.3,Bank Transfer,Pending
246,246,2024-12-22,265.96,Cash,Pending
247,247,2024-02-15,773.5,Cash,Pending
248,248,2024-11-05,1393.8,Bank Transfer,Pending
249,249,2024-02-24,1985.87,Bank Transfer,Pending
250,250,2024-06-06,738.97,Credit,Pending
251,251,2024-03-26,1510.3600000000001,Bank Transfer,Pending
252,252,2024-01-22,310.37,Cash,Pending
253,253,2024-05-20,232.31,Credit,Pending
254,254,2024-07-05,808.11,Credit,Paid
255,255,2024-01-19,469.75,Credit,Pending
256,256,2024-01-21,540.89,Bank Transfer,Pending
257,257,2024-07-07,2268.08,Credit,Paid
258,258,2024-12-15,395.03999999999996,Bank Transfer,Pending
259,259,2024-02-10,1193.81,Bank Transfer,Pending
260,260,2024-07-22,329.82,Cash,Paid
261,261,2024-03-02,114.64,Cash,Pending
262,262,2024-09-22,538.63,Credit,Pending
263,263,2024-05-14,820.7,Cash,Pending
264,264,2024-12-21,108.66000000000001,Credit,Paid
265,265,2024-02-10,497.36,Credit,Pending
266,266,2024-02-16,1246.91,Cash,Pending
267,267,2024-12-31,542.88,Credit,Pending
268,268,2024-06-05,556.45,Cash,Paid
269,269,2024-07-06,1301.09,Cash,Paid
270,270,2024-03-12,121.94,Cash,Pending
271,271,2024-10-13,106.26,Credit,Paid
272,272,2024-11-12,1071.87,Cash,Pending
273,273,2024-09-03,729.8,Cash,Paid
274,274,2024-03-08,30.4,Cash,Pending
275,275,2024-08-28,1009.42,Bank Transfer,Paid
276,276,2024-10-11,282.26,Bank Transfer,Paid
277,277,2024-08-12,1058.35,Bank Transfer,Paid
278,278,2024-06-04,2474.18,Credit,Paid
279,279,2024-06-26,1422.9,Cash,Pending
280,280,2024-04-10,338.71000000000004,Bank Transfer,Paid
281,281,2024-11-17,1306.6599999999999,Bank Transfer,Paid
282,282,2024-09-17,868.54,Cash,Paid
283,283,2024-03-29,474.18,Credit,Pending
284,284,2024-10-16,1181.26,Bank Transfer,Paid
285,285,2024-11-27,105.43,Bank Transfer,Paid
286,286,2024-10-20,228.8,Credit,Paid
287,287,2024-09-11,1476.27,Credit,Pending
288,288,2024-09-05,1474.97,Cash,Pending
289,289,2024-08-23,1195.38,Credit,Paid
290,290,2024-08-16,1539.02,Cash,Paid
291,291,2024-06-26,244.53,Cash,Pending
292,292,2024-06-28,1155.8,Bank Transfer,Paid
293,293,2024-06-12,284.99,Credit,Pending
294,294,2024-08-18,67.98,Bank Transfer,Paid
295,295,2024-05-29,385.32,Bank Transfer,Paid
296,296,2024-03-22,55.12,Credit,Pending
297,297,2024-04-08,380.01,Bank Transfer,Pending
298,298,2024-09-13,276.12,Cash,Paid
299,299,2024-07-23,1430.8899999999999,Bank Transfer,Paid
300,300,2024-10-26,1435.92,Credit,Pending
301,301,2024-09-13,789.33,Cash,Pending
302,302,2024-05-26,414.0,Cash,Pending
303,303,2024-03-09,684.0,Credit,Pending
304,304,2024-07-09,87.21000000000001,Bank Transfer,Paid
305,305,2024-07-05,1399.52,Bank Transfer,Pending
306,306,2024-09-15,229.19,Bank Transfer,Pending
307,307,2024-11-15,1231.67,Cash,Paid
308,308,2024-02-22,311.88,Cash,Pending
309,309,2024-03-14,568.2,Credit,Pending
310,310,2024-09-15,1035.67,Bank Transfer,Paid
311,311,2024-06-21,830.0,Cash,Paid
312,312,2024-11-09,1511.58,Credit,Pending
313,313,2024-03-25,342.9,Bank Transfer,Pending
314,314,2024-11-01,2015.9,Bank Transfer,Pending
315,315,2024-12-30,1080.21,Cash,Paid
316,316,2024-07-09,649.5600000000001,Credit,Pending
317,317,2024-10-26,1030.48,Bank Transfer,Paid
318,318,2024-11-03,182.16,Cash,Paid
319,319,2024-01-27,456.12,Cash,Pending
320,320,2024-03-18,208.78,Credit,Paid
321,321,2024-04-10,1347.3600000000001,Credit,Pending
322,322,2024-03-18,745.35,Credit,Pending
323,323,2024-09-15,274.4,Credit,Paid
324,324,2024-12-29,248.46,Cash,Pending
325,325,2024-12-06,987.4200000000001,Cash,Pending
326,326,2024-03-31,869.96,Bank Transfer,Pending
327,327,2024-12-15,1757.73,Bank Transfer,Pending
328,328,2024-11-10,433.13,Cash,Pending
329,329,2024-10-12,158.85,Cash,Pending
330,330,2024-12-29,1069.56,Cash,Pending
331,331,2024-06-14,1070.12,Cash,Pending
332,332,2024-05-27,1772.98,Cash,Pending
333,333,2024-07-21,439.78,Cash,Pending
334,334,2024-01-25,273.18,Bank Transfer,Pending
335,335,2024-08-15,535.77,Bank Transfer,Pending
336,336,2024-04-19,389.5,Cash,Pending
337,337,2024-03-14,325.15,Credit,Paid
338,338,2024-05-07,681.0,Bank Transfer,Paid
339,339,2024-11-24,878.78,Cash,Pending
340,340,2024-06-19,778.3599999999999,Bank Transfer,Paid
341,341,2024-01-03,489.72,Bank Transfer,Pending
342,342,2024-09-02,1553.5700000000002,Bank Transfer,Pending
343,343,2024-05-29,1922.77,Cash,Paid
344,344,2024-10-01,499.51,Cash,Paid
345,345,2024-08-03,1250.8,Bank Transfer,Pending
346,346,2024-04-08,434.7,Bank Transfer,Paid
347,347,2024-06-04,827.48,Bank Transfer,Pending
348,348,2024-05-25,448.25,Bank Transfer,Pending
349,349,2024-03-11,152.4,Bank Transfer,Paid
350,350,2024-02-28,536.88,Bank Transfer,Pending
351,351,2024-11-28,653.11,Credit,Paid
352,352,2024-06-24,358.05,Bank Transfer,Paid
353,353,2024-04-02,530.25,Bank Transfer,Pending
354,354,2024-09-21,863.5,Credit,Paid
355,355,2024-04-05,781.9,Credit,Paid
356,356,2024-01-07,277.84000000000003,Credit,Pending
357,357,2024-05-16,564.16,Bank Transfer,Paid
358,358,2024-05-14,916.9,Bank Transfer,Paid
359,359,2024-02-03,148.23999999999998,Bank Transfer,Pending
360,360,2024-03-25,1504.14,Credit,Pending
361,361,2024-12-21,654.84,Cash,Pending
362,362,2024-11-10,757.8000000000001,Bank Transfer,Pending
363,363,2024-03-20,1965.63,Cash,Pending
364,364,2024-07-31,460.58000000000004,Bank Transfer,Paid
365,365,2024-05-06,80.04,Cash,Paid
366,366,2024-09-29,1024.31,Credit,Pending
367,367,2024-02-09,1230.3,Credit,Paid
368,368,2024-10-20,1060.34,Credit,Pending
369,369,2024-09-23,626.75,Bank Transfer,Paid
370,370,2024-10-27,580.52,Cash,Pending
371,371,2024-01-29,1828.44,Cash,Pending
372,372,2024-08-24,1366.87,Bank Transfer,Pending
373,373,2024-12-13,623.16,Credit,Pending
374,374,2024-05-13,788.8,Credit,Paid
375,375,2024-01-27,320.17,Cash,Paid
376,376,2024-10-07,1072.52,Bank Transfer,Paid
377,377,2024-05-26,1018.62,Cash,Pending
378,378,2024-07-10,421.8,Bank Transfer,Pending
379,379,2024-02-11,526.55,Credit,Paid
380,380,2024-11-30,984.0600000000001,Cash,Pending
381,381,2024-09-30,1900.53,Cash,Paid
382,382,2024-01-14,384.29,Cash,Pending
383,383,2024-10-01,2178.97,Bank Transfer,Pending
384,384,2024-06-28,705.02,Bank Transfer,Paid
385,385,2024-01-18,513.06,Credit,Paid
386,386,2024-05-03,536.64,Credit,Paid
387,387,2024-08-16,2217.7599999999998,Credit,Paid
388,388,2024-05-07,1256.16,Cash,Pending
389,389,2024-04-29,316.09000000000003,Credit,Paid
390,390,2024-09-16,1028.67,Credit,Pending
391,391,2024-10-23,299.51,Cash,Pending
392,392,2024-05-02,669.96,Cash,Paid
393,393,2024-07-31,729.0600000000001,Credit,Paid
394,394,2024-11-17,441.21,Bank Transfer,Pending
395,395,2024-01-25,1252.02,Bank Transfer,Pending
396,396,2024-09-26,1747.36,Credit,Pending
397,397,2024-03-19,605.06,Credit,Pending
398,398,2024-05-05,1850.71,Cash,Paid
399,399,2024-08-25,698.1600000000001,Bank Transfer,Pending
400,400,2024-10-13,249.48,Credit,Paid
401,401,2024-05-11,596.5,Credit,Paid
402,402,2024-08-18,926.83,Bank Transfer,Paid
403,403,2024-01-29,397.03999999999996,Bank Transfer,Paid
404,404,2024-02-10,438.2,Cash,Paid
405,405,2024-09-03,866.0799999999999,Credit,Paid
406,406,2024-04-19,66.99,Bank Transfer,Pending
407,407,2024-05-07,158.4,Credit,Paid
408,408,2024-07-23,339.57,Cash,Pending
409,409,2024-07-15,684.8,Credit,Pending
410,410,2024-06-07,1464.29,Cash,Pending
411,411,2024-08-26,458.38,Cash,Pending
412,412,2024-04-17,694.2,Bank Transfer,Paid
413,413,2024-10-18,1457.54,Credit,Paid
414,414,2024-05-13,2022.8,Cash,Pending
415,415,2024-05-31,616.15,Credit,Paid
416,416,2024-07-14,394.98,Credit,Pending
417,417,2024-05-11,446.26,Credit,Pending
418,418,2024-08-26,636.72,Bank Transfer,Paid
419,419,2024-03-14,574.15,Bank Transfer,Paid
420,420,2024-10-04,1149.17,Credit,Paid
421,421,2024-02-10,168.84,Bank Transfer,Pending
422,422,2024-03-12,1291.27,Bank Transfer,Paid
423,423,2024-01-06,1067.87,Credit,Pending
424,424,2024-01-31,584.64,Cash,Pending
425,425,2024-12-05,409.88,Credit,Pending
426,426,2024-01-08,850.23,Cash,Pending
427,427,2024-10-03,770.0,Cash,Pending
428,428,2024-04-03,802.19,Cash,Paid
429,429,2024-05-05,120.27,Cash,Pending
430,430,2024-07-01,770.88,Credit,Pending
431,431,2024-07-26,2131.3,Bank Transfer,Paid
432,432,2024-06-02,26.66,Cash,Paid
433,433,2024-02-17,723.4399999999999,Credit,Pending
434,434,2024-01-29,62.4,Cash,Paid
435,435,2024-02-12,1554.8,Bank Transfer,Pending
436,436,2024-10-19,731.6500000000001,Cash,Paid
437,437,2024-04-21,508.12,Cash,Pending
438,438,2024-01-24,726.96,Cash,Paid
439,439,2024-04-04,1044.84,Cash,Paid
440,440,2024-12-31,348.71999999999997,Credit,Paid
441,441,2024-10-18,844.5,Bank Transfer,Pending
442,442,2024-07-16,1382.74,Cash,Paid
443,443,2024-09-15,1349.49,Credit,Paid
444,444,2024-08-14,1838.78,Bank Transfer,Pending
445,445,2024-06-18,1126.07,Bank Transfer,Pending
446,446,2024-09-09,1247.22,Bank Transfer,Pending
447,447,2024-08-10,1786.1,Bank Transfer,Pending
448,448,2024-02-14,4.29,Bank Transfer,Paid
449,449,2024-02-09,824.36,Bank Transfer,Pending
450,450,2025-01-02,1457.78,Credit,Pending
451,451,2024-06-13,339.52000000000004,Bank Transfer,Paid
452,452,2024-06-08,708.6800000000001,Bank Transfer,Paid
453,453,2024-03-10,742.14,Credit,Pending
454,454,2024-10-14,1966.69,Credit,Paid
455,455,2024-01-17,673.36,Cash,Paid
456,456,2024-11-02,799.37,Bank Transfer,Paid
457,457,2024-05-31,896.04,Credit,Paid
458,458,2024-10-21,1781.5,Cash,Pending
459,459,2024-03-29,968.46,Cash,Pending
460,460,2024-09-12,286.23,Cash,Pending
461,461,2024-05-23,587.0400000000001,Credit,Paid
462,462,2024-07-06,1662.9099999999999,Cash,Pending
463,463,2024-10-31,838.4,Credit,Paid
464,464,2024-03-12,535.03,Credit,Pending
465,465,2024-11-14,244.18,Cash,Pending
466,466,2024-08-08,1401.9899999999998,Cash,Pending
467,467,2024-06-15,576.95,Credit,Pending
468,468,2024-06-10,75.6,Cash,Pending
469,469,2024-12-22,688.23,Cash,Paid
470,470,2024-06-18,1730.38,Cash,Pending
471,471,2024-03-02,1123.56,Bank Transfer,Paid
472,472,2024-12-15,2539.21,Credit,Pending
473,473,2024-12-30,1316.94,Bank Transfer,Paid
474,474,2024-07-28,271.26,Bank Transfer,Pending
475,475,2024-05-06,703.67,Bank Transfer,Pending
476,476,2024-07-15,910.15,Bank Transfer,Pending
477,477,2024-10-27,1221.53,Bank Transfer,Pending
478,478,2024-10-07,208.78,Credit,Paid
479,479,2024-02-25,189.42,Credit,Pending
480,480,2024-03-28,884.61,Cash,Pending
481,481,2024-06-19,417.21000000000004,Bank Transfer,Paid
482,482,2024-05-12,70.57000000000001,Cash,Paid
483,483,2024-08-16,1581.1200000000001,Cash,Paid
484,484,2024-06-27,561.51,Credit,Pending
485,485,2024-07-31,253.68,Cash,Paid
486,486,2024-06-27,783.78,Cash,Paid
487,487,2024-09-24,1898.47,Cash,Paid
488,488,2024-08-12,940.6899999999999,Cash,Pending
489,489,2024-02-07,236.0,Credit,Paid
490,490,2024-01-15,686.23,Bank Transfer,Paid
491,491,2024-05-06,176.25,Cash,Paid
492,492,2024-06-21,38.28,Bank Transfer,Paid
493,493,2024-07-28,178.84,Credit,Pending
494,494,2024-07-21,20.7,Credit,Paid
495,495,2024-08-20,1521.66,Cash,Paid
496,496,2024-12-26,1446.3999999999999,Bank Transfer,Paid
497,497,2024-10-22,74.8,Bank Transfer,Pending
498,498,2024-06-17,847.81,Cash,Pending
499,499,2024-12-11,564.0600000000001,Bank Transfer,Pending
500,500,2024-11-03,241.54,Credit,Paid
501,501,2024-06-30,955.6700000000001,Bank Transfer,Paid
502,502,2024-12-12,570.48,Cash,Paid
503,503,2024-12-13,825.37,Bank Transfer,Paid
504,504,2024-06-05,768.04,Credit,Paid
505,505,2024-09-18,589.66,Credit,Paid
506,506,2024-10-21,598.64,Credit,Pending
507,507,2024-11-21,1108.73,Bank Transfer,Paid
508,508,2024-10-13,794.52,Cash,Paid
509,509,2024-04-08,725.18,Credit,Paid
510,510,2024-07-02,865.9499999999999,Cash,Paid
511,511,2024-07-18,851.77,Credit,Pending
512,512,2024-07-30,702.54,Credit,Pending
513,513,2024-09-07,896.99,Credit,Paid
514,514,2024-04-25,629.74,Cash,Paid
515,515,2024-10-05,991.15,Bank Transfer,Pending
516,516,2024-10-09,299.28,Credit,Paid
517,517,2024-05-18,443.25,Bank Transfer,Paid
518,518,2024-08-15,103.14,Credit,Paid
519,519,2024-12-02,1432.3500000000001,Bank Transfer,Paid
520,520,2024-08-20,770.1800000000001,Cash,Pending
521,521,2024-03-01,809.19,Bank Transfer,Pending
522,522,2025-01-01,82.05,Cash,Paid
523,523,2024-11-13,879.24,Credit,Paid
524,524,2024-10-20,942.91,Credit,Paid
525,525,2024-06-17,771.81,Cash,Pending
526,526,2024-09-20,1905.95,Cash,Pending
527,527,2024-02-01,897.31,Bank Transfer,Paid
528,528,2024-05-07,219.78,Cash,Paid
529,529,2024-12-14,270.0,Cash,Pending
530,530,2024-11-19,484.88,Bank Transfer,Paid
531,531,2024-11-21,957.31,Bank Transfer,Pending
532,532,2024-12-24,359.77,Cash,Pending
533,533,2024-10-26,736.11,Credit,Paid
534,534,2024-08-24,574.88,Credit,Pending
535,535,2024-02-05,518.84,Bank Transfer,Pending
536,536,2024-04-20,979.81,Credit,Pending
537,537,2024-06-23,776.0999999999999,Bank Transfer,Pending
538,538,2024-06-24,190.19,Cash,Paid
539,539,2024-02-22,718.3699999999999,Cash,Paid
540,540,2024-03-24,1569.19,Cash,Pending
541,541,2024-04-15,670.4,Credit,Pending
542,542,2024-03-23,1426.63,Cash,Pending
543,543,2024-05-08,114.0,Credit,Paid
544,544,2024-01-29,237.82,Bank Transfer,Paid
545,545,2024-08-08,364.8,Credit,Paid
546,546,2024-01-02,234.58999999999997,Cash,Paid
547,547,2024-11-01,16.32,Bank Transfer,Pending
548,548,2024-01-06,242.3,Bank Transfer,Paid
549,549,2024-08-06,863.94,Cash,Paid
550,550,2024-04-28,915.99,Cash,Paid
551,551,2024-02-23,2.62,Bank Transfer,Paid
552,552,2024-07-14,547.17,Credit,Paid
